case_id,image_path,label_path,image_exists,label_exists,dimensions_xyz,voxel_spacing_mm,min_hu,max_hu,mean_hu,label_voxel_count,unique_label_values,primary_benchmark_split
29,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\29.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\29.label.nii\label.nii,True,True,512x512x206,0.3184x0.3184x0.5000,-1024.0,3070.0,-158.8,116756,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
30,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\30.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\30.label.nii\label.nii,True,True,512x512x275,0.3516x0.3516x0.5000,-1024.0,3071.0,-188.2,142781,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
31,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\31.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,99994,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
32,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\32.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,112037,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
33,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\33.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,125616,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
34,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\34.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\34.label.nii\label.nii,True,True,512x512x275,0.4238x0.4238x0.5000,-1024.0,3071.0,-223.2,88730,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
35,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\35.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,235364,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
36,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\36.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\36.label.nii\label.nii,True,True,512x512x275,0.3555x0.3555x0.5000,-1024.0,1732.0,-194.4,103804,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
37,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\37.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\37.label.nii\label.nii,True,True,512x512x275,0.3633x0.3633x0.5000,-1024.0,1448.0,-144.6,88770,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
38,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\38.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,101182,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
39,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\39.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\39.label.nii\label.nii,True,True,512x512x241,0.3789x0.3789x0.5000,-1024.0,3069.0,-209.8,207971,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
40,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\40.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\40.label.nii\label.nii,True,True,512x512x245,0.3770x0.3770x0.5000,-1024.0,2746.0,-267.2,157722,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
41,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\41.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\41.label.nii\label.nii,True,True,512x512x206,0.3184x0.3184x0.5000,-1024.0,3071.0,-208.9,118880,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
42,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\42.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\42.label.nii\label.nii,True,True,512x512x275,0.3398x0.3398x0.5000,-1024.0,3071.0,-158.2,94248,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
43,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\43.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\43.label.nii\label.nii,True,True,512x512x255,0.3477x0.3477x0.5000,-1024.0,2720.0,-124.9,196717,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
44,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\44.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,176856,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
45,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\45.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\45.label.nii\label.nii,True,True,512x512x275,0.4004x0.4004x0.5000,-1024.0,3071.0,-163.7,110095,"[0.0, 1.0]",Primary_Val
46,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\46.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\46.label.nii\label.nii,True,True,512x512x275,0.3242x0.3242x0.5000,-1024.0,2973.0,-187.5,171025,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
47,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\47.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\47.label.nii\label.nii,True,True,512x512x275,0.3398x0.3398x0.5000,-1024.0,3070.0,-198.9,113825,"[0.0, 1.0]",Primary_Val
48,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\48.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,208777,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
49,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\49.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\49.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,2084.0,-174.3,122756,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
50,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\50.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\50.label.nii\label.nii,True,True,512x512x275,0.3672x0.3672x0.5000,-1024.0,3071.0,-280.2,95099,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
51,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\51.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\51.label.nii\label.nii,True,True,512x512x275,0.3398x0.3398x0.5000,-1024.0,2443.0,-119.4,99589,"[0.0, 1.0]",Primary_Val
52,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\52.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\52.label.nii\label.nii,True,True,512x512x275,0.3633x0.3633x0.5000,-1024.0,2639.0,-227.6,112887,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
53,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\53.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\53.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,3071.0,-197.9,135976,"[0.0, 1.0]",Primary_Val
54,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\54.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,116752,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
55,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\55.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\55.label.nii\label.nii,True,True,512x512x275,0.3672x0.3672x0.5000,-1024.0,3071.0,-193.8,107479,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
56,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\56.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\56.label.nii\label.nii,True,True,512x512x275,0.3438x0.3438x0.5000,-1024.0,3071.0,-199.8,136755,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
57,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\57.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\57.label.nii\label.nii,True,True,512x512x275,0.3496x0.3496x0.5000,-1024.0,3071.0,-162.0,106440,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
58,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\58.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\58.label.nii\label.nii,True,True,512x512x206,0.3516x0.3516x0.5000,-1024.0,1316.0,-64.8,98578,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
59,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\59.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\59.label.nii\label.nii,True,True,512x512x275,0.3359x0.3359x0.5000,-1024.0,3071.0,-136.9,192570,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
60,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\60.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\60.label.nii\label.nii,True,True,512x512x275,0.3652x0.3652x0.5000,-1024.0,2600.0,-196.4,149432,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
61,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\61.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\61.label.nii\label.nii,True,True,512x512x275,0.3613x0.3613x0.5000,-1024.0,3071.0,-86.3,86232,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
62,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\62.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,116571,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
63,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\63.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\63.label.nii\label.nii,True,True,512x512x206,0.3184x0.3184x0.5000,-1024.0,1788.0,-320.4,92490,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
64,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\64.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,149560,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
65,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\65.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\65.label.nii\label.nii,True,True,512x512x206,0.3438x0.3438x0.5000,-1024.0,1400.0,-164.8,74779,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
66,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\66.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,112827,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
67,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\67.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\67.label.nii\label.nii,True,True,512x512x275,0.3691x0.3691x0.5000,-1024.0,2518.0,-149.2,82991,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
68,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\68.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\68.label.nii\label.nii,True,True,512x512x206,0.3184x0.3184x0.5000,-1024.0,1374.0,-121.4,97360,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
69,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\69.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\69.label.nii\label.nii,True,True,512x512x245,0.3438x0.3438x0.5000,-1024.0,2148.0,-249.9,148254,"[0.0, 1.0]",Primary_Val
70,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\70.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\70.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,1731.0,-187.9,159749,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
71,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\71.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\71.label.nii\label.nii,True,True,512x512x275,0.3672x0.3672x0.5000,-1024.0,2142.0,-74.9,123913,"[0.0, 1.0]",Primary_Val
72,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\72.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\72.label.nii\label.nii,True,True,512x512x275,0.3809x0.3809x0.5000,-1024.0,2031.0,-169.9,129709,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
73,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\73.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,188954,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
74,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\74.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,94953,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
75,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\75.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,95813,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
76,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\76.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\76.label.nii\label.nii,True,True,512x512x275,0.4648x0.4648x0.5000,-1024.0,1673.0,-92.9,66613,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
77,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\77.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\77.label.nii\label.nii,True,True,512x512x261,0.3711x0.3711x0.5000,-1024.0,3067.0,-221.4,106264,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
78,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\78.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\78.label.nii\label.nii,True,True,512x512x259,0.4277x0.4277x0.5000,-1024.0,3071.0,-129.7,65010,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
79,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\79.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\79.label.nii\label.nii,True,True,512x512x275,0.3652x0.3652x0.5000,-1024.0,3025.0,-134.2,179933,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
80,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\80.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\80.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,3071.0,-192.6,75389,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
81,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\81.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\81.label.nii\label.nii,True,True,512x512x261,0.3457x0.3457x0.5000,-1024.0,3071.0,-112.0,115401,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
82,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\82.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,58530,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
83,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\83.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,83396,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
84,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\84.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\84.label.nii\label.nii,True,True,512x512x206,0.3457x0.3457x0.5000,-1024.0,1386.0,-160.8,105686,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
85,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\85.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\85.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,2481.0,-177.3,119418,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
86,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\86.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,90276,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
87,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\87.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\87.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,2674.0,-170.9,95077,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
88,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\88.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\88.label.nii\label.nii,True,True,512x512x243,0.3184x0.3184x0.5000,-1024.0,3071.0,-149.7,106202,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
89,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\89.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\89.label.nii\label.nii,True,True,512x512x275,0.3301x0.3301x0.5000,-1024.0,2289.0,-211.6,90819,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
90,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\90.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,154249,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
91,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\91.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,132436,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
92,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\92.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\92.label.nii\label.nii,True,True,512x512x275,0.3184x0.3184x0.5000,-1024.0,1952.0,-201.2,98658,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
93,,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\93.label.nii\label.nii,False,True,N/A,N/A,0.0,0.0,0.0,121633,"[0.0, 1.0]",Primary_QC_Excluded (Leakage-Free / Unseen)
94,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\94.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\94.label.nii\label.nii,True,True,512x512x249,0.3613x0.3613x0.5000,-1024.0,1487.0,-152.7,80066,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
95,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\95.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\95.label.nii\label.nii,True,True,512x512x275,0.3418x0.3418x0.5000,-1024.0,1773.0,-179.9,95195,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
96,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\96.img.nii\diao_0.nii,H:\3D CT Images for Coronary Artery Segmentation (200 Samples)\96.label.nii\label.nii,True,True,512x512x247,0.3184x0.3184x0.5000,-1024.0,3052.0,-129.5,116472,"[0.0, 1.0]",Primary_Train (Leakage Risk if external)
